scopus_id,doi,year,title,doi_url,audit_stage,latest_revised,candidate,design,new_data,text_treatment,parser_compatible,geography,rationale,metadata_available,evidence_basis,reviewer,reviewer_type,human_validated,recommended_action
105031155926,10.1002/jcad.70031,2026,Counselors’ Perceptions of a Peer Who Had a Client Die by Suicide: A Randomized Controlled Study,https://doi.org/10.1002/jcad.70031,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,Licensed counselors receive randomized peer-history vignettes and rate the described counselor; sample geography and questionnaire compatibility remain unstated.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
85131578152,10.1007/s11292-022-09518-w,2023,Extending the long arm of the law: punishment and rehabilitation as motives of public support for handling violent juvenile offenders as adults,https://doi.org/10.1007/s11292-022-09518-w,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,"Participants read a juvenile-offender vignette, receive randomized sentencing information, and report willingness to pay for the alternative.",true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
85168497728,10.1016/j.foodqual.2023.104959,2023,Knowledge of an insect pest negatively affects sensory perception and emotional response to blueberries,https://doi.org/10.1016/j.foodqual.2023.104959,post_holdout_loss_audit,true,false,no,yes,unclear,no,unclear,Randomized insect information precedes actual blueberry tasting and sensory-emotional ratings; this is a physical sensory trial rather than an embedded survey-response design.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
105036299734,10.1016/j.jebo.2026.107535,2026,"Generative AI, perceived job displacement, and policy preferences: Experimental evidence from China",https://doi.org/10.1016/j.jebo.2026.107535,post_holdout_loss_audit,true,false,yes,yes,unclear,unclear,non_US,Chinese workers receive randomized information about occupational AI exposure before reporting job-risk beliefs and policy preferences; delivery modality is unspecified.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
82055191591,10.1016/j.psychsport.2011.10.009,2012,An experimental investigation of physical education teachers' and coaches' reactions to weight-based victimization in youth,https://doi.org/10.1016/j.psychsport.2011.10.009,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,Teachers and coaches receive randomized hypothetical victimization scenarios with photographs and answer questions about their reactions.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
84940483976,10.1037/a0039611,2015,The influence of emphasizing psychological causes of depression on public stigma,https://doi.org/10.1037/a0039611,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,Undergraduates receive randomized depression-explanation vignettes and report public stigma.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
85131792440,10.1080/00224545.2022.2085543,2024,Does he see what she sees? The gender gap in perceptions of institutional sexism,https://doi.org/10.1080/00224545.2022.2085543,post_holdout_loss_audit,true,false,yes,yes,unclear,unclear,unclear,Participants receive randomized sexism information and perspective-taking instructions before judging discrimination in a legal case; stimulus modality is unspecified.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
84894142099,10.1080/02739615.2014.850879,2014,"Parental acceptance of treatments for insomnia in children with attention-deficit/hyperactivity disorder, autistic spectrum disorder, and their typically developing peers",https://doi.org/10.1080/02739615.2014.850879,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,Parents receive randomized hypothetical child-diagnosis vignettes and rate insomnia-treatment acceptability.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
85129163395,10.1080/0735648x.2022.2062035,2023,Integrating subjectively-derived choice sets to expand offender decision-making,https://doi.org/10.1080/0735648x.2022.2062035,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,Community adults receive randomized vignettes and list perceived response options; elicited choice sets are not a conjoint design.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
85121753028,10.1080/10926771.2021.2019157,2022,"Exploring the Effects of Perpetrator, Victim, and Participant Gender on Perceptions Related to Sexual Assault",https://doi.org/10.1080/10926771.2021.2019157,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,Students read randomized sexual-assault vignettes and rate victim impact and perpetrator guilt.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
105001849546,10.1080/1553118x.2024.2435494,2025,Generating Credibility in Crisis: Will an AI-Scripted Response Be Accepted?,https://doi.org/10.1080/1553118x.2024.2435494,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,An online factorial experiment varies crisis vignettes and AI-authorship disclosure before message-credibility and organizational evaluations.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
105007428042,10.1177/08862605251343200,2026,The Effectiveness of Affirmative Sexual Consent Cues,https://doi.org/10.1177/08862605251343200,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,Participants receive randomized consent-cue vignettes and rate consent and victim blame; nonverbal cues are features of the described scenarios.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
77953078929,10.1542/peds.2009-1796,2010,Effect of various risk/benefit trade-offs on parents' understanding of a pediatric research study,https://doi.org/10.1542/peds.2009-1796,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,unclear,Parents in an Internet survey receive randomized hypothetical study-risk scenarios and report comprehension and risk perceptions.,true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
105017446375,10.3390/bs15091277,2025,Justice at Risk? The Influence of Recidivism Risk Information on Evaluation of Evidence and Determination of Guilt,https://doi.org/10.3390/bs15091277,post_holdout_loss_audit,true,false,yes,yes,yes,unclear,non_US,"Belgian and Dutch participants read randomized defendant-risk vignettes and report credibility, evidence, and guilt judgments.",true,cached_Scopus_title_abstract_keywords,counterexample_audit_loss,AI_assisted,false,Preserve previous candidate; screen before article or author-count changes
