scopus_id,design,new_data,text_treatment,parser_compatible,geography,rationale,reviewer,reviewer_type,human_validated
105025104754,no,unclear,unclear,no,unclear,"The article offers an autoethnographic discussion of AI research practices, without a reported human content experiment or clear data-collection method.",participant_guards,AI_assisted,false
84981287718,no,yes,no,no,unclear,Suppressed spider and flower images are used to study visual awareness and fMRI activity.,strategy_review,AI_assisted,false
85053392045,no,yes,unclear,no,unclear,The study gathers qualitative focus-group accounts of service barriers without an experimental manipulation.,participant_guards,AI_assisted,false
105045298597,no,yes,no,no,non_US,Indian focus groups and interviews inform future interventions without experimentally assigned content.,counterexample_audit,AI_assisted,false
85108963478,yes,yes,unclear,unclear,unclear,"Experiments vary eyewitness statements and contextual information to assess evaluators’ confidence judgments, but delivery modality is unspecified.",strategy_review,AI_assisted,false
105030252190,yes,yes,yes,unclear,unclear,Students are randomized to narrative presentation formats and answer open-ended inference questions after reading.,strategy_review,AI_assisted,false
105022922243,no,no,no,no,unclear,Experiments benchmark a communications-network algorithm rather than manipulate content for human respondents.,strategy_review,AI_assisted,false
85096207237,no,yes,no,no,non_US,The study observes daily activities and needs among older adults in Chinese villages.,counterexample_audit,AI_assisted,false
79952072848,no,yes,no,no,unclear,The study measures speeded motor-task errors and brain connectivity rather than responses to varied survey content.,strategy_review,AI_assisted,false
85060790517,no,yes,no,no,unclear,Olfactory food-preference experiments use mice rather than human respondents.,participant_guards,AI_assisted,false
84897936942,no,unclear,no,no,unclear,The study analyzes brain functional connectivity; the abstract neither identifies survey manipulation nor clarifies whether imaging data are newly collected.,strategy_review,AI_assisted,false
84933676125,no,yes,no,no,unclear,Acoustic tonal manipulations are evaluated using brain potentials rather than human survey judgments.,participant_guards,AI_assisted,false
85195103726,no,yes,no,no,unclear,The randomized interventions are clinical dietary counseling strategies with blood-pressure outcomes.,counterexample_audit,AI_assisted,false
79957993277,no,no,unclear,no,unclear,The article systematically reviews clinical discharge-communication interventions and does not report a new eligible experiment.,strategy_review,AI_assisted,false
85186449360,unclear,yes,no,unclear,non_US,"Images are randomized among Swiss officials, but policy-learning measurement is insufficiently described to establish survey-response eligibility.",counterexample_audit,AI_assisted,false
85104027715,no,yes,unclear,no,unclear,The experiments measure incentivized task selection and cheating rather than survey judgments of communicated scenarios.,strategy_review,AI_assisted,false
85173365019,no,yes,no,no,non_US,This cross-country African survey describes stakeholder perceptions without a randomized intervention.,counterexample_audit,AI_assisted,false
77954490278,no,no,no,unclear,unclear,"This is a conceptual discussion of animal-feeding research and future experiments, without a new human experiment.",strategy_review,AI_assisted,false
85120861640,no,unclear,no,no,unclear,"The article analyzes monkey neuronal firing and gaze-task errors, and the abstract does not specify whether these recordings were newly collected.",participant_guards,AI_assisted,false
84893924819,no,yes,no,no,unclear,"The study uses visual adaptation and neural responses to examine emotional-face perception, not an eligible survey content design.",participant_guards,AI_assisted,false
84926612481,no,yes,no,no,unclear,Webcam angles alter perceptual height judgments and strategic coordination in a video-chat/game paradigm.,strategy_review,AI_assisted,false
84903882261,yes,yes,unclear,unclear,unclear,"Original stated-choice experiments examine consumer information and preferences, but the profile structure and treatment modality are not sufficiently detailed.",strategy_review,AI_assisted,false
105043307181,no,no,no,no,unclear,"The experiments benchmark dialogue-model training and compression on datasets, without an identifiable human survey intervention.",strategy_review,AI_assisted,false
85112043889,yes,yes,unclear,unclear,unclear,A conducted scenario experiment varies information and measures waste-sorting willingness and payment intentions.,strategy_review,AI_assisted,false
85117151460,no,yes,no,no,unclear,Auditory attention is investigated through a cued perceptual task and MEG recordings.,strategy_review,AI_assisted,false
85114368486,no,yes,no,no,unclear,The study surveys researchers’ methodological attitudes without experimental assignment.,counterexample_audit,AI_assisted,false
85073552576,no,unclear,unclear,no,unclear,"The reported experiments compare text-mining algorithms on student feedback, with no randomized human treatment or clear original feedback collection.",participant_guards,AI_assisted,false
